scorer,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000,DLC_resnet50_EPM_DLC_BSOIDAug25shuffle1_495000
bodyparts,Snout/Head,Snout/Head,Snout/Head,Forepaw/Shoulder1,Forepaw/Shoulder1,Forepaw/Shoulder1,Forepaw/Shoulder2,Forepaw/Shoulder2,Forepaw/Shoulder2,Hindpaw/Hip1,Hindpaw/Hip1,Hindpaw/Hip1,Hindpaw/Hip2,Hindpaw/Hip2,Hindpaw/Hip2,Tailbase,Tailbase,Tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,1117.44140625,506.985595703125,0.9957411289215088,1077.174072265625,518.3519897460938,0.9999998211860657,1098.4141845703125,545.7954711914062,0.9999983310699463,1026.3438720703125,535.6073608398438,0.9999998807907104,1018.2010498046875,581.1861572265625,0.9999338984489441,978.6416625976562,544.4229736328125,1.0
9,1119.861572265625,511.32763671875,0.9999992251396179,1076.95556640625,520.13720703125,0.9999996423721313,1096.9276123046875,548.0303955078125,0.9999995231628418,1026.4927978515625,535.3960571289062,1.0,1018.0934448242188,581.2269287109375,0.999952495098114,978.8377075195312,544.6389770507812,1.0
10,1119.9605712890625,511.38311767578125,0.9999992847442627,1076.93408203125,520.1292114257812,0.9999996423721313,1096.959228515625,548.0784301757812,0.9999995231628418,1026.4468994140625,535.3565673828125,0.9999998807907104,1018.1265258789062,581.2130737304688,0.9999579787254333,978.7593994140625,544.5712280273438,1.0
11,1124.1263427734375,512.6205444335938,1.0,1080.6583251953125,519.6824951171875,0.9999970197677612,1098.2041015625,548.6033935546875,0.9999995231628418,1026.79052734375,535.1052856445312,1.0,1017.8450317382812,581.0783081054688,0.9999580979347229,978.584228515625,544.4456787109375,1.0
12,1124.0655517578125,512.548828125,1.0,1080.76708984375,519.6309814453125,0.9999974966049194,1098.5394287109375,548.3698120117188,0.999999463558197,1026.772216796875,535.234619140625,1.0,1017.8741455078125,581.050048828125,0.9999597668647766,978.562255859375,544.4616088867188,1.0
13,1138.94873046875,517.8920288085938,1.0,1084.4639892578125,522.2401733398438,0.9999896287918091,1099.6807861328125,551.246337890625,0.9999991655349731,1027.249267578125,535.0280151367188,1.0,1015.8101196289062,581.1408081054688,0.9999759197235107,978.4030151367188,544.2074584960938,1.0
14,1139.010009765625,517.836181640625,1.0,1084.672607421875,522.12744140625,0.9999850392341614,1099.9520263671875,551.0658569335938,0.9999989867210388,1027.27490234375,534.8490600585938,1.0,1015.8612670898438,581.0630493164062,0.9999773502349854,978.2525024414062,544.1637573242188,1.0
15,1140.8948974609375,522.0197143554688,1.0,1086.171875,523.6353759765625,0.9999829530715942,1101.6805419921875,553.8743896484375,0.9999985694885254,1027.2978515625,534.7265014648438,1.0,1017.4658203125,580.1945190429688,0.9999592900276184,978.3822631835938,543.9454956054688,1.0
16,1140.9298095703125,521.9925537109375,1.0,1086.29150390625,523.4357299804688,0.9999808073043823,1101.864013671875,553.8709716796875,0.9999985098838806,1027.410888671875,534.6156005859375,1.0,1017.6087036132812,580.0736694335938,0.9999600648880005,978.4275512695312,543.921630859375,1.0
17,1144.2906494140625,526.5602416992188,1.0,1088.2467041015625,524.6739501953125,0.9999585151672363,1102.817626953125,556.3275146484375,0.9999989867210388,1028.50537109375,534.3857421875,1.0,1017.6332397460938,580.0720825195312,0.999962329864502,978.4661865234375,543.7068481445312,1.0
